City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,tolanaro,-25.0319,46.9987,23.910000000000025,57,0,1.48,MG,1689837059
299,savannakhet,16.566,104.751,30.53000000000003,71,100,1.43,LA,1689837060
300,nagqu,31.5,92.0,16.28000000000003,29,100,4.13,CN,1689837060
301,bousso,10.4795,16.7117,23.80000000000001,87,100,4.82,TD,1689837060
302,gobabis,-22.45,18.9667,9.620000000000005,42,0,3.84,NA,1689837060
303,yakutsk,62.0339,129.7331,14.980000000000018,87,40,2.0,RU,1689836979
304,el granada,37.5027,-122.4694,16.560000000000002,90,100,3.6,US,1689836845
305,horsham,51.064,-0.3272,17.620000000000005,77,0,2.57,GB,1689837061
306,kirakira,-10.4544,161.9205,27.32000000000005,87,100,1.16,SB,1689837061
307,leninskoye,41.7589,69.3864,35.660000000000025,19,0,5.54,KZ,1689837062
308,rio grande,-32.035,-52.0986,11.640000000000043,79,100,8.03,BR,1689837062
309,dazhou,31.2159,107.5009,29.140000000000043,75,100,1.87,CN,1689837062
310,prado,-17.3411,-39.2208,20.78000000000003,87,29,2.25,BR,1689837062
311,pandan,14.0453,124.1694,29.629999999999995,73,100,3.82,PH,1689837063
312,goalpara,26.1667,90.6167,34.610000000000014,61,91,1.45,IN,1689837063
313,tegueste,28.5167,-16.3167,20.55000000000001,84,40,8.23,ES,1689837063
314,nuku'alofa,-21.1333,-175.2,22.189999999999998,78,100,5.14,TO,1689837064
315,nemuro,43.3236,145.575,15.29000000000002,85,13,3.6,JP,1689837064
316,san patricio,28.017,-97.5169,29.340000000000032,85,0,5.65,US,1689837064
317,lerwick,60.1545,-1.1494,11.0,87,100,7.28,GB,1689837064
318,malpica,43.3228,-8.8105,19.100000000000023,96,100,1.31,ES,1689837065
319,shambu,9.5667,37.1,11.420000000000016,97,100,0.7,ET,1689837065
320,zaranj,30.9667,61.8833,39.09000000000003,14,33,7.8,AF,1689837065
321,emkhomazi,-30.2067,30.7978,14.600000000000023,58,100,8.4,ZA,1689837065
322,podporozh'ye,60.9112,34.1706,17.79000000000002,67,100,3.35,RU,1689837066
